acc,brier,f1,roc_auc,log_loss,vars
0.7714992190255454,-0.22830200325895883,0.7019492384502225,0.7575333705863864,-7.7504232161686435,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'is_cabin_notnull', 'Title_Master')"
0.7648755479417544,-0.23490675607634515,0.6941098913624147,0.7508701013205432,-7.975553135003912,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'is_cabin_notnull', 'Port_C')"
0.7698118103491711,-0.22989693955635615,0.7005082223230674,0.7560251399899881,-7.808523332297886,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'is_cabin_notnull', 'Port_Q')"
0.7685766110747216,-0.23108763696794363,0.697335689554156,0.7538455802745084,-7.847497870553421,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'is_cabin_notnull', 'Port_S')"
0.7722867435884516,-0.22725292475283138,0.7056893848201418,0.760256756966515,-7.718989942675283,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'is_cabin_notnull', 'Title_Mr')"
0.7694749836247292,-0.23026374390825927,0.6992077519606454,0.7551826951807742,-7.820157390892068,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'is_cabin_notnull', 'Title_Miss')"
0.7702615004786617,-0.22923319982938928,0.7008761805897061,0.7567558042972948,-7.785185959996279,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'is_cabin_notnull', 'Title_Other')"
0.7702609966241749,-0.22944185646935167,0.7001102788368868,0.7560361393419404,-7.789342401271478,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'is_cabin_notnull', 'Title_Mrs')"
0.7652126265934398,-0.23314807308899188,0.6985448761316724,0.7553226075584891,-7.899458106758995,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_C', 'Port_Q')"
0.7646505769133874,-0.23355339865596814,0.6950147970004976,0.753568145923313,-7.893411482414796,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_C', 'Port_S')"
0.7663329470448934,-0.23222108352857695,0.6983129389399588,0.7555774359034059,-7.85051092702579,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_C', 'Title_Miss')"
0.7675678943920995,-0.2309757322860158,0.6987801394464639,0.756326478383528,-7.8078975719112425,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_C', 'Title_Master')"
0.7631956970826825,-0.2354423876159565,0.6959921409600114,0.753245146431662,-7.966242623566086,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_C', 'Title_Other')"
0.7663334508993801,-0.23225645411355203,0.6983022477658596,0.7555414343201512,-7.854160227527942,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_C', 'Title_Mrs')"
0.7682412959137401,-0.23015752106041779,0.7006638407230598,0.7575612696306127,-7.787817966075231,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_Q', 'Port_S')"
0.7711588653196957,-0.22736518346251602,0.7049308548675716,0.761189575354001,-7.694412409936268,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_C', 'Title_Mr')"
0.7702637678238524,-0.2279633554854358,0.7038454233928513,0.7604731157134154,-7.69963646847516,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_Q', 'Title_Miss')"
0.7738534791152316,-0.2245280382250606,0.7073217046122674,0.7634622968059388,-7.60455469921389,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_Q', 'Title_Mr')"
0.7689159570715975,-0.22889684039499394,0.7018674092653664,0.7594115686251682,-7.727206396784742,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_Q', 'Title_Mrs')"
0.7754297878772609,-0.22341272423274158,0.708598200772694,0.764222361921171,-7.544226354990469,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_Q', 'Title_Master')"
0.7714964478258678,-0.22681571877291837,0.7021641604073233,0.7595312227150491,-7.667965467592903,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_S', 'Title_Master')"
0.7706026099662416,-0.22800585806069207,0.7036434081391183,0.7597546420796517,-7.721063436889709,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_Q', 'Title_Other')"
0.7699241698997329,-0.2281107960795922,0.701336345509544,0.7589806439345432,-7.714339364197349,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_S', 'Title_Miss')"
0.774862447725097,-0.2237212683452019,0.7077347092843826,0.7635721448057214,-7.577444442399968,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_S', 'Title_Mr')"
0.7701478812918829,-0.22759840125921632,0.7019495326155373,0.7598417598963123,-7.691537573087724,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_S', 'Title_Mrs')"
0.7699221544817857,-0.22853368150028275,0.7014404561376428,0.7588324951396407,-7.722603359616952,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Title_Master', 'Title_Miss')"
0.7673469541996272,-0.23103597526284408,0.6981766444225633,0.7558168857223794,-7.818661815723926,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Port_S', 'Title_Other')"
0.7729548546379805,-0.225185071578828,0.7057110931701486,0.7626220037485885,-7.624167493617563,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Title_Master', 'Title_Mr')"
0.7697029777800171,-0.2290618280715529,0.7015675300673316,0.7584794914182159,-7.756053381858498,"('Pclass', 'Sex', 'Age', 'Fare', 'family_size', 'Title_Master', 'Title_Other')"
